name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W24X62,I,23.7,7.04,0.43,0.59,1.09,18.2,62,1550,131,153,9.23,34.5,9.8,15.7,1.38
W24X55,I,23.6,7.01,0.395,0.505,1.01,16.2,55,1350,114,134,9.11,29.1,8.3,13.3,1.34
W21X275,I,24.1,12.9,1.22,2.19,3.37,81.8,275,7690,638,749,9.7,787,122,191,3.1
W21X248,I,23.7,12.8,1.1,1.99,3.17,73.8,248,6830,576,671,9.62,699,109,170,3.08
W21X223,I,23.4,12.7,1,1.79,2.97,66.5,223,6080,520,601,9.56,614,96.7,150,3.04
W21X201,I,23,12.6,0.91,1.63,2.13,59.3,201,5310,461,530,9.47,542,86.1,133,3.02
W21X182,I,22.7,12.5,0.83,1.48,1.98,53.6,182,4730,417,476,9.4,483,77.2,119,3
W21X166,I,22.5,12.4,0.75,1.36,1.86,48.8,166,4280,380,432,9.36,435,70,108,2.99
W21X147,I,22.1,12.5,0.72,1.15,1.65,43.2,147,3630,329,373,9.17,376,60.1,92.6,2.95
W21X132,I,21.8,12.4,0.65,1.04,1.54,38.8,132,3220,295,333,9.12,333,53.5,82.3,2.93
W21X122,I,21.7,12.4,0.6,0.96,1.46,35.9,122,2960,273,307,9.09,305,49.2,75.6,2.92
W21X111,I,21.5,12.3,0.55,0.875,1.38,32.6,111,2670,249,279,9.05,274,44.5,68.2,2.9
W21X101,I,21.4,12.3,0.5,0.8,1.3,29.8,101,2420,227,253,9.02,248,40.3,61.7,2.89
